241.6441888 -1.510830483
241.8871431 -1.464477653 0
241.8871431 1.464477653 0
240.6090181 -1.66570174 0
239.6616164 -1.812892946 0
239.4468313 -1.846141849 0
238.1309765 -2.045938514 0
235.2995254 -2.46408422 0
233.544418 -2.697896434 0
231.4826677 -2.975929233 0
228.1598972 -3.393999039 0
228.1057652 -3.40039069 0
227.5377569 -3.466941602 0
223.6175925 -3.906861807 0
220.8593156 -4.186230295 0
220.2539807 -4.242676541 0
220.0765777 -4.258944169 0
217.2997266 -4.498873211 0
215.2884115 -4.652547531 0
213.5171257 -4.783908821 0
212.2610581 -4.874957133 0
211.1670749 -4.947773544 0
210.4298001 -4.992729881 0
206.813297 -5.20616204 0
206.2687804 -5.236965907 0
204.7939454 -5.319319971 0
202.722021 -5.426792341 0
201.4771276 -5.487480596 0
197.7147314 -5.658222309 0
195.3520179 -5.753636363 0
192.1336994 -5.895684637 0
191.2339852 -5.932247572 0
189.6559183 -5.992701897 0
185.4526377 -6.140786365 0
183.4228652 -6.209261734 0
181.7392609 -6.266217985 0
179.7360012 -6.331844846 0
177.4742442 -6.40822518 0
175.8620778 -6.450077095 0
172.3397886 -6.548374202 0
167.5219345 -6.683453051 0
166.4344372 -6.711917412 0
165.0118857 -6.743185223 0
163.2082277 -6.78679555 0
161.8534086 -6.817877433 0
159.2136436 -6.877684127 0
157.9887499 -6.904405172 0
157.4279615 -6.916478284 0
153.7377089 -6.988299607 0
150.58081 -7.041002398 0
149.3936614 -7.064474212 0
146.2874587 -7.112296414 0
145.0877219 -7.129915972 0
142.6703232 -7.173393348 0
141.8328992 -7.186848569 0
141.1273424 -7.196317895 0
137.9970266 -7.233170335 0
136.9632311 -7.244420225 0
131.3032057 -7.304441064 0
130.3139976 -7.315020417 0
128.7297727 -7.332881178 0
126.0580518 -7.35663031 0
122.6833252 -7.379434903 0
119.3601659 -7.398189244 0
118.0032764 -7.409348001 0
116.1015651 -7.420355322 0
114.3342143 -7.428994756 0
111.0810297 -7.444024006 0
110.8676084 -7.444645702 0
109.7374115 -7.447917296 0
106.4882085 -7.455126408 0
104.2189846 -7.459835198 0
103.382441 -7.461157515 0
102.3197324 -7.460516553 0
100.5495962 -7.456368253 0
99.31469412 -7.455620853 0
97.03960285 -7.454952716 0
93.01361965 -7.447139882 0
92.76824816 -7.44610332 0
92.41075921 -7.444527521 0
88.92444069 -7.424123635 0
87.01078172 -7.413239215 0
84.87535327 -7.398472506 0
83.98017391 -7.391138458 0
80.51808236 -7.362051723 0
78.59902094 -7.34991221 0
76.57818576 -7.334161506 0
73.22980381 -7.296878444 0
72.28172047 -7.28564166 0
71.62000819 -7.278098937 0
68.98414821 -7.242030242 0
66.27643186 -7.207572621 0
65.05003099 -7.193447969 0
62.17497707 -7.150023683 0
61.2380291 -7.134352862 0
58.77439045 -7.089388848 0
56.87672866 -7.048065728 0
54.83145751 -7.005443565 0
52.82002069 -6.961292321 0
50.70318057 -6.908704781 0
48.26043855 -6.848539272 0
46.99198114 -6.815158287 0
45.29273926 -6.768335748 0
43.47007824 -6.714421239 0
42.40998273 -6.681632047 0
40.20346983 -6.606477705 0
40.10392549 -6.602918009 0
36.20057251 -6.453609304 0
35.59527872 -6.429895123 0
32.84316755 -6.319352016 0
31.92286099 -6.279128943 0
31.5982918 -6.264519874 0
28.28894456 -6.106666075 0
26.92156595 -6.034520397 0
23.71342366 -5.857268519 0
23.12986759 -5.820912949 0
22.77865105 -5.79808633 0
19.02243334 -5.516440082 0
14.95642562 -5.158899713 0
14.89470672 -5.152942869 0
14.87204111 -5.150758877 0
13.70553081 -5.035970415 0
11.91868064 -4.841695444 0
11.8840661 -4.837595008 0
9.540350052 -4.508964683 0
9.426403329 -4.490618455 0
9.020227086 -4.423840948 0
7.270585602 -4.097109904 0
6.558755474 -3.936899114 0
5.381508586 -3.628271023 0
4.531179856 -3.359873078 0
3.281028852 -2.878665414 0
3.044497721 -2.778116462 0
2.679529274 -2.620106225 0
1.950598685 -2.267449219 0
1.381562905 -1.918595628 0
1.082588461 -1.692321165 0
0.7441139758 -1.365127628 0
0.5551270229 -1.159718636 0
0.3436611656 -0.8825514094 0
0.0854152749 -0.3749024436 0
0.0431775986 -0.2695189596 0
0 0 0
0.03610861649 0.428230352 0
0.08917070728 0.7295353555 0
0.3285558665 1.532011308 0
0.3792809136 1.655492859 0
0.6515643914 2.191197961 0
1.059505328 2.833918906 0
1.534347803 3.51014385 0
1.754635251 3.798923831 0
2.09754942 4.192239909 0
2.579304293 4.710863199 0
3.132365532 5.273541582 0
3.831070399 5.917838429 0
4.824585848 6.751457795 0
5.01304281 6.898114927 0
5.514116575 7.277895067 0
6.970498426 8.31950107 0
7.533078222 8.689738326 0
10.1384821 10.28327751 0
10.48367812 10.48307929 0
10.58205639 10.53946251 0
12.49039188 11.5690785 0
13.97124949 12.31402018 0
15.41921573 13.00428683 0
16.52949675 13.51375332 0
17.54600875 13.96371933 0
19.39607691 14.7403634 0
20.0578379 15.00471206 0
21.89639955 15.7166846 0
23.09299362 16.1676923 0
24.80904326 16.77749673 0
25.99086609 17.17449114 0
28.02729154 17.83844167 0
29.1007465 18.17442232 0
29.7857597 18.38316919 0
31.91585195 19.00692599 0
34.95171364 19.85057477 0
35.48659251 19.99288094 0
36.6928888 20.30486752 0
39.25906335 20.943608 0
40.30305293 21.1956867 0
41.80638036 21.54586422 0
42.83764778 21.77288003 0
45.28783597 22.30225978 0
46.03915878 22.45999179 0
48.44080575 22.93704853 0
49.05016646 23.050427 0
49.36501397 23.10774161 0
49.9110616 23.20612814 0
53.12420108 23.77178898 0
54.30592551 23.97052279 0
55.49572516 24.16202819 0
57.00297533 24.39319339 0
57.09629256 24.40715216 0
57.50526425 24.46832422 0
59.66748626 24.78337673 0
60.48238537 24.89517834 0
62.7856299 25.20611317 0
63.27997869 25.2705045 0
65.4182668 25.53759692 0
66.94948146 25.72104598 0
68.77727779 25.92972291 0
70.63999424 26.12934103 0
72.55064931 26.32185021 0
72.792949 26.34502104 0
74.53870599 26.51007085 0
76.40037628 26.67219312 0
76.82053402 26.70664974 0
77.24345149 26.74106262 0
79.03740768 26.8799724 0
79.4711229 26.91156518 0
81.66392591 27.06088729 0
83.57105973 27.18149862 0
84.86755776 27.25434843 0
87.31317033 27.37994617 0
88.41222961 27.42784872 0
89.47511907 27.46881468 0
92.24708312 27.56212748 0
93.81553856 27.60530915 0
95.07921298 27.63031419 0
96.98706286 27.66067491 0
97.6816467 27.67100786 0
100.3987639 27.69320826 0
100.6959818 27.69401492 0
103.7712935 27.68152439 0
104.102871 27.67758633 0
105.2616071 27.66230393 0
107.9152506 27.62185339 0
108.8953542 27.60289512 0
110.4322853 27.56917426 0
111.1767047 27.54755786 0
114.0995612 27.44783467 0
114.4726215 27.43314579 0
114.730848 27.42264985 0
118.1053032 27.2691537 0
119.800933 27.17681243 0
121.994439 27.05214525 0
123.3951222 26.96335604 0
125.1506007 26.83952431 0
128.2013963 26.59061688 0
128.4922022 26.56629491 0
128.6388994 26.55408402 0
131.2742965 26.3113409 0
131.7657315 26.26170911 0
133.9634424 26.03024635 0
136.3729225 25.7625236 0
136.8483798 25.70624901 0
137.1893208 25.66511479 0
141.0318167 25.17540067 0
144.5082721 24.67776728 0
144.5965259 24.66565603 0
144.7294271 24.64728209 0
146.1792856 24.42478163 0
147.26014 24.2548665 0
149.287367 23.91001042 0
151.1705223 23.57757467 0
153.334548 23.17695467 0
156.0824973 22.6337723 0
156.9217036 22.45590535 0
160.3422435 21.70275506 0
161.2473352 21.49187783 0
164.1774883 20.77441141 0
164.2752602 20.74954697 0
164.3211127 20.73786499 0
167.5118937 19.9068697 0
168.5872717 19.61202771 0
173.4771581 18.18050537 0
174.1125717 17.99015121 0
176.7080546 17.17347676 0
178.7261175 16.52239065 0
180.1868657 16.04122974 0
184.4712705 14.57159944 0
184.6276503 14.51695364 0
187.9642593 13.32433435 0
188.9636508 12.9642597 0
191.7055065 11.95158284 0
193.8223474 11.15896794 0
197.0681452 9.936167679 0
199.0407142 9.179343948 0
200.9217948 8.485139628 0
202.6066805 7.867906499 0
203.4855908 7.550745525 0
206.858362 6.468660632 0
207.1288736 6.390693 0
207.4544702 6.298879617 0
209.5304836 5.805207252 0
212.4764412 5.196874965 0
212.7643566 5.139220852 0
214.0307265 4.893351408 0
215.7206682 4.597197146 0
216.2903965 4.504805952 0
219.0583756 4.09129562 0
220.7573405 3.859700204 0
221.0270695 3.824061935 0
224.6051951 3.401480727 0
225.953215 3.248200458 0
229.6181766 2.853891512 0
229.7686256 2.838253071 0
230.0230586 2.812060546 0
234.9561016 2.329114565 0
239.9942438 1.724969241 0
240.8960459 1.610283629 0
241.497397 1.533666389 0
241.6441888 1.510830483 0
